id,ctrl_flag,resp_flag,period,metric1,metric2,metric3,segment
6778110,0,0,post,7597.2,330,330,B
4414197,0,0,post,0,0,0,B
6152321,0,0,post,9284,400,396,B
1376364,0,0,post,6420.1,300,297,B
3759439,0,0,post,8218.8,400,396,B
7150467,0,0,post,4546.5,400,396,B
2549505,0,0,post,7.4,50,50,B
5324538,0,0,post,5155.7,520,450,B
4392552,0,0,post,1.8,0,0,A
7474558,0,0,post,6540.9,200,198,B
3270585,0,0,post,2298.4,420,419,A
736613,0,0,post,0,100,0,B
394631,0,0,post,20630,600,599,A
394631,0,0,post,19439.9,400,399,B
9445699,0,0,post,13412.8,200,200,B
72719,0,0,post,12855.1,550,450,B
4486914,0,0,post,6468.2,200,99,B
4486914,0,0,post,4304.1,100,99,A
1617920,0,0,post,10148.3,180,180,B
5207985,0,0,post,0,0,0,B
472211,0,0,post,3475.9,60,60,B
9496320,1,0,post,3662.4,100,198,B
148370,0,0,post,7714.8,290,200,A
148370,0,0,post,7690.9,240,150,B
8696383,0,0,post,4425.4,270,240,B
8611575,1,0,post,25720.1,600,198,B
1671585,0,0,post,683.9,110,140,B
8948617,0,0,post,28830.7,680,679,B
5230634,0,0,post,486.9,900,0,B
4476651,0,0,post,29,900,400,B
4476651,0,0,post,0,1060,400,A
211667,0,0,post,0,30,0,B
783253,0,0,post,968.4,200,0,A
7192450,0,0,post,8830.7,385,370,B
7192450,0,0,post,9640.3,485,470,B
7192450,0,0,post,7618.5,330,300,A
7576544,0,0,post,12110.9,470,540,A
7576544,0,0,post,12373.4,490,560,B
7576544,0,0,post,13842.9,590,640,A
3379583,0,0,post,6571.6,140,280,A
5474905,0,0,post,9043.5,400,340,B
700122,0,0,post,36.7,250,250,B
2505217,1,0,post,154.1,20,0,B
5511217,0,0,post,23014.3,600,594,B
5420281,0,0,post,2667.7,300,347,B
6272474,0,0,post,3976.2,350,350,B
4680482,0,0,post,6380.6,400,378,A
4680482,0,0,post,5377.6,300,298,A
4680482,0,0,post,6019.7,300,279,B
8136631,1,0,post,5815.9,500,495,A
7768677,0,0,post,214.8,80,80,B
2212678,0,0,post,3266.7,150,149,B
669854,0,0,post,3179.2,0,0,B
669854,0,0,post,1080,0,0,B
669854,0,0,post,2993.6,0,0,B
3337859,0,0,post,1,0,0,B
5346866,0,0,post,76.7,30,0,B
6460317,0,0,post,987.2,200,300,B
3904403,1,0,post,6280.8,600,349,B
7128438,0,0,post,813.9,300,50,B
4567461,0,0,post,3814.5,250,250,A
5736480,0,0,post,28485.1,730,724,B
8700530,0,0,post,65.2,50,50,B
2704569,0,0,post,5243.3,296.5,260,B
756573,0,0,post,11606.3,300,297,B
4255575,0,0,post,6186.7,400,396,B
4360866,0,0,post,15969.9,400,396,B
2338872,0,0,post,5589.7,30,15,B
8040926,0,0,post,8736.8,350,400,B
9345927,0,0,post,8497.4,381.5,269,B
7338990,0,0,post,1459.4,415,405,B
7592101,0,0,post,19314.8,400,396,B
296134,0,0,post,370.9,250,250,B
2513158,0,0,post,2419.6,151.5,250,B
8667170,0,0,post,7390.3,600,298,B
5272243,0,0,post,0,30,0,B
9556312,1,0,post,22475.1,430,430,B
1922331,1,0,post,1204.6,500,0,A
175332,0,0,post,3395.7,290,298,B
7271392,0,1,post,128.7,200,0,B
2651449,1,0,post,12897.5,415,99,B
2651449,1,0,post,13066.9,415,99,B
5378486,0,0,post,1412.8,170,170,B
2511589,0,0,post,5960,60,230,B
1849621,0,0,post,31531.2,380,370,B
9174686,0,0,post,1.8,0,0,B
2891696,0,0,post,1599.5,250,250,A
8457814,0,0,post,19782.3,440,445,A
7896971,0,0,post,5148.6,230,396,A
798112,0,0,post,269.3,30,30,B
1818398,0,0,post,27.4,0,0,B
9713404,0,0,post,3435.6,650,396,B
7118502,0,0,post,41.6,0,0,B
9511521,0,0,post,1437.4,500,348,B
2317551,0,0,post,2687,0,0,A
720564,0,0,post,24.8,50,25,B
1773655,0,0,post,4126.9,470,390,B
9176713,0,0,post,1549.7,160,150,B
4744717,0,0,post,1235.2,240,240,A
4744717,1,0,post,1482.5,300,300,B
4744717,0,0,post,1534.5,300,300,B
4374727,0,0,post,1385.8,195,0,B
952846,0,0,post,14664.4,0,0,A
4385950,0,0,post,33447.1,530,495,B
4385950,0,0,post,41819.1,720,684,A
4385950,0,0,post,38777.1,690,649,B
7274195,0,0,post,17335.3,630,825,B
5341200,0,0,post,10120,600,446,A
5341200,0,0,post,9319.2,700,397,B
3772259,0,0,post,4374.8,250,250,A
7452278,0,0,post,992.9,0,0,A
5615297,0,0,post,10231,345,350,B
6441299,0,0,post,20580.7,100,99,A
3224301,0,0,post,20137.3,330,327,B
4976342,0,0,post,6272.7,530,495,A
4976342,1,0,post,7004.1,530,495,B
2662423,1,0,post,0,0,0,B
6903634,0,0,post,29.3,0,0,B
3477785,0,0,post,515.3,100,0,A
9711788,0,0,post,11.6,350,0,B
1211826,0,0,post,21328,500,499,A
1211826,0,0,post,24700.8,500,499,B
9563936,0,0,post,1.9,0,0,B
8955950,0,0,post,41.1,200,20,B
5972963,0,0,post,8282.1,430,431,B
3436988,0,0,post,0,20,0,B
3551331,0,0,post,6561,330,329,B
3024363,0,0,post,0,300,0,B
2041392,0,0,post,6647.5,50,300,B
8146480,0,0,post,35468.8,1150,998,B
8146480,0,0,post,34525,1110,949,B
7708612,0,0,post,0.1,0,0,B
7043692,0,0,post,36428.2,400,396,B
7043692,0,0,post,34614,400,396,B
7043692,0,0,post,35401.6,400,396,B
2153736,1,0,post,4479.3,300,297,B
5004819,0,0,post,23087.5,600,595,B
5004819,0,0,post,24524,550,546,A
2778823,0,0,post,122.6,300,250,A
2778823,1,0,post,214.8,600,549,B
5352840,0,0,post,6389,200,198,B
3387844,1,0,post,21589.9,500,495,A
180864,0,0,post,14889.7,350,450,B
9790868,0,0,post,9393.9,450,348,B
4485970,0,0,post,1567.4,70,70,B
8710179,1,0,post,8883,140,120,B
7466271,0,0,post,9217.6,420,396,B
3973326,0,0,post,1380.4,300,297,B
1517450,0,0,post,820.2,200,198,B
6460485,0,0,post,2647,160,60,B
5154905,0,0,post,24607.1,300,297,B
4547152,0,0,post,4562.8,350,350,A
4547152,0,0,post,3160,250,300,B
4547152,0,0,post,1747.7,400,350,B
6172183,0,0,post,21858.1,410,407,A
6172183,0,0,post,21330.1,370,392,B
9393185,0,0,post,0,0,0,B
1602311,0,0,post,16.2,0,80,B
834342,0,0,post,3798.4,180,180,B
1406364,0,0,post,3630.4,400,377,B
7815409,0,0,post,13610.3,580,548,B
64455,0,0,post,8.7,0,0,A
6969455,0,0,post,10205.1,500,594,A
3727537,0,0,post,0,100,0,B
1092714,0,0,post,0,300,0,B
5950762,1,0,post,12800.1,400,466,A
2690832,0,0,post,2514.3,300,278,A
7959848,0,0,post,24377,1650,1050,B
9790852,0,0,post,21489.5,400,450,B
6943918,0,0,post,100.8,100,0,B
5417940,1,0,post,0,150,0,B
5516959,1,0,post,16.8,0,0,A
7428964,0,0,post,15649.8,30,30,B
3603972,1,0,post,4717.8,50,297,B
532974,0,0,post,1177.5,360,363,B
2800983,0,0,post,21938.9,780,790,B
6730104,0,0,post,62.8,0,20,A
5547190,0,0,post,31680.1,1000,891,B
9240196,0,0,post,3036.1,300,280,B
6268225,0,0,post,0,100,0,A
6387296,0,0,post,4232,200,198,B
4771336,0,0,post,753.5,200,297,B
2944381,0,0,post,10407.3,360,357,B
2944381,0,0,post,9025.2,360,357,B
